time,seconds_elapsed,z,y,x
1783696380516626700,0.067626708984375,-0.037411154505610465,-0.0009075432989746332,-0.014887955193407833
1783696380526589700,0.077589599609375,0.02587561501264572,-0.012048640114255249,0.04689326860010624
1783696380536552700,0.087552734375,-0.04339315152466297,-0.007491378668695688,-0.024693711751699446
1783696380546515700,0.097515625,-0.07719429883956909,0.0020040698314085603,-0.05038702899999916
1783696380556478700,0.107478759765625,-0.00478489618897438,0.012594912352785467,0.029265001722611487
1783696380566442800,0.11744287109375,0.020649404796957968,-0.03273337195292115,0.023106917484290897
1783696380576405800,0.12740576171875,-0.053099137502908705,0.008754128613509238,-0.02670227509513497
1783696380586368800,0.13736865234375,-0.09559270983934402,0.027359095036052165,-0.017566051828861236
1783696380596331800,0.147331787109375,-0.007929623955488204,-0.006326791868731379,0.017750358887203038
1783696380606294500,0.15729443359375,0.02275602168738842,-0.019787709933705627,0.009331891968846321
1783696380616258800,0.1672587890625,-0.057286652320623396,0.009728380473144352,-0.018101729608140885
1783696380626221600,0.1772216796875,-0.06837269448041916,0.0095666871054098,-0.02919456683490425
1783696380636184600,0.1871845703125,0.006439677658677101,0.004569353742152452,0.01618654363658279
1783696380646147800,0.19714794921875,0.0019599018961191177,-0.014494718092121182,0.009456504729203879
1783696380656110800,0.20711083984375,-0.047121232137084,0.00014561901576817034,-0.023478563808277248
1783696380666075000,0.217074951171875,-0.058043023645877836,-0.0002842237688601017,-0.00860123960673809
1783696380676038000,0.227037841796875,-0.012250409764051437,-0.012021898237802088,0.023617862681113183
1783696380686001000,0.2370009765625,-0.004007482075691223,-0.013445903158932923,-0.010710121519491076
1783696380695964000,0.2469638671875,-0.058922144567966454,0.020861440112441777,-0.011499372201040386
1783696380705926700,0.2569267578125,-0.046209962511062616,0.007050429968163371,-0.0033519407764077184
1783696380715890700,0.266890625,0.014995909079909324,-0.0068155982989817855,-0.01675104565154761
1783696380725853700,0.276853759765625,-0.013869535398483275,-0.010108538897149265,-0.006806428611837327
1783696380735816700,0.286816650390625,-0.05457680884003639,0.0046062882190570234,0.005510726245492696
1783696380745779700,0.29677978515625,-0.03167699476778507,0.0046388387817889445,-0.012889913243986665
1783696380755742700,0.30674267578125,-0.0030862755775451656,-0.021413119178451595,-0.004423332867585122
1783696380765705700,0.316705810546875,-0.03466974684298038,0.0040700989831238986,0.007421601368114351
1783696380775669800,0.326669677734375,-0.05367489156424999,-0.005012019475735724,-0.009803893394768238
1783696380785632800,0.3366328125,-0.022693477845191955,-0.008329473460651934,0.004548932008631527
1783696380795595500,0.346595458984375,-0.025531916141510007,-0.00009531360063701868,-0.007664324082806706
1783696380805558800,0.356558837890625,-0.028368016350269316,0.01139536383729428,-0.012910882966779171
1783696380815521800,0.366521728515625,-0.0416840095192194,0.017939561316370964,-0.003841770119965076
1783696380825485800,0.37648583984375,-0.030164836639165877,-0.011362119154818355,-0.009326631271839142
1783696380835448800,0.38644873046875,-0.014304419684410095,-0.013069544127210973,-0.01099671990852803
1783696380845411800,0.396411865234375,-0.02552840901017189,-0.0011444938600063323,-0.0022914719380438325
1783696380855374800,0.406374755859375,-0.04857786068618297,-0.016502331587485968,-0.0017525062231346963
1783696380865337900,0.416337890625,-0.014005144476890562,-0.001657923274859786,-0.010762180500291287
1783696380875300600,0.426300537109375,-0.02238075863420963,-0.001690510370209813,-0.00739438456762582
1783696380885264600,0.4362646484375,-0.029418986707925796,-0.012421893873438238,0.00572765693180263
1783696380895227600,0.4462275390625,-0.0306125804066658,0.0011841682832688092,-0.013959953628294169
1783696380905190700,0.456190673828125,-0.03839022867083549,-0.01903824327327311,-0.00013498802389949558
1783696380915153700,0.466153564453125,-0.04616846145689487,-0.0030306729327887294,0.002997939706966281
1783696380925116700,0.47611669921875,-0.038680736050009726,0.006226509832032025,-0.0010382204739376902
1783696380935080700,0.486080810546875,-0.041076106753945345,-0.003879581379704177,-0.0031983211172744628
1783696380945043700,0.496043701171875,-0.028809914898872375,-0.00760338767580688,-0.007597213663347065
1783696380955006700,0.5060068359375,-0.015490414598584175,0.00874159792549908,0.002779328520223498
1783696380964969700,0.5159697265625,-0.04826689504086971,-0.01462451848424971,-0.0006645283233374357
1783696380974932700,0.5259326171875,-0.04826689504086971,-0.00609780541844666,-0.012023067281581461
1783696380984896800,0.535896728515625,-0.0240203425347805,0.006998334454745054,0.0010757760053500532
1783696380994859800,0.54585986328125,-0.030607904231548307,-0.012102598791196942,0.008751936656422913
1783696381004822800,0.55582275390625,-0.03839022867083549,-0.007463869607262313,-0.02607873636931181
1783696381014785800,0.565785888671875,-0.01833060646057129,0.002669876796379685,-0.006370959804020822
1783696381024748800,0.575748779296875,-0.029557518395781517,-0.011835910679027438,-0.0008773673564195632
1783696381034711800,0.5857119140625,-0.024470424389839172,-0.003024864246509969,-0.0023266163166612386
1783696381044675800,0.59567578125,-0.022368483674526214,0.0056023135190829635,0.0045629240013659
1783696381054638800,0.605638916015625,-0.03464052074849605,-0.0014670768778771162,-0.00893891059588641
1783696381064601600,0.6156015625,-0.012042319971323013,0.000949519277177751,-0.009605886604636907
1783696381074564600,0.625564697265625,-0.03717734574973583,-0.002673566590808332,-0.00204579008128494
1783696381084527600,0.635527587890625,-0.03658288698792457,-0.01991451465114951,-0.006225742647051811
1783696381094491600,0.64549169921875,-0.03224456552267074,-0.010993468505516647,-0.02077087575215846
1783696381104454700,0.65545458984375,-0.03209142078757286,-0.013835560063645242,0.001413264331407845
1783696381114417700,0.665417724609375,-0.03883095817565918,-0.010488916516862809,-0.02183331735190004
1783696381124381000,0.675380859375,-0.031041034951806067,-0.0038509032744914293,0.0006416954370215535
1783696381134344000,0.685343994140625,-0.03717383861839771,-0.013589111021906136,-0.011828932948969305
1783696381144308000,0.695307861328125,-0.035085926428437234,-0.004264562109299003,-0.0024133812846615908
1783696381154270700,0.705270751953125,-0.03911971198916435,-0.00101999069750309,-0.0008899711096659302
1783696381164233700,0.715233642578125,-0.04061374993920326,0.01034019222855568,-0.0025947292009368536
1783696381174196700,0.72519677734375,-0.021322774013876913,-0.008001885474100709,-0.0073961746659129855
1783696381184159700,0.73515966796875,-0.023564999982714652,-0.005007964355126023,-0.01045874057430774
1783696381194122800,0.745122802734375,-0.03478606669902801,-0.004270809186995029,-0.000629931933991611
1783696381204086800,0.755086669921875,-0.0376361954331398,-0.0099501334650442,-0.02062478181235492
1783696381214049800,0.7650498046875,-0.00665887336730957,0.006771795689873397,-0.0074761810995638365
1783696381224012800,0.7750126953125,-0.029707155999541282,-0.00927727570477873,-0.0006220043558627366
1783696381233975600,0.7849755859375,-0.03255553116798401,-0.019796075903251765,-0.009687610071338712
1783696381243938600,0.7949384765625,-0.011751228070259094,-0.0030992081243544816,0.0019295432904735206
1783696381253902600,0.804902587890625,-0.020881459987163543,0.0020263912610709667,-0.011524945033714174
1783696381263865600,0.814865478515625,-0.031359014859795566,-0.013699293398112058,-0.02069189223181456
1783696381273828900,0.824828857421875,-0.023420623075962065,0.0039061771256849167,-0.009314721638336777
1783696381283792000,0.8347919921875,-0.04871054715514183,-0.016626250228099524,-0.004007189814746379
1783696381293755000,0.8447548828125,-0.02626782920062542,-0.009485438562743365,-0.006852751971594989
1783696381303719000,0.854718994140625,-0.024021511578559872,0.0013397607037797569,-0.0008467895550653338
1783696381313682000,0.864681884765625,-0.053360418787598604,0.00019979688841849564,0.002901895453967154
1783696381323644700,0.874644775390625,-0.02328676756322384,0.003523936342447996,-0.008848273170366882
1783696381333607700,0.884607666015625,-0.012959434816241264,0.00020721300989389417,0.0024813684869557616
1783696381343570700,0.89457080078125,-0.02942132479548454,-0.009042663231305778,0.006093677232600748
1783696381353533700,0.90453369140625,-0.02747194429337978,-0.019358342073112725,-0.009096658440865575
1783696381363497700,0.914497802734375,-0.02761982833147049,0.0020695362830534577,-0.00291132086943835
1783696381373460700,0.924460693359375,-0.027775311154127118,-0.010465572173893451,-0.013561017438583076
1783696381383423700,0.934423828125,-0.021938860085606575,-0.007170366553403437,-0.01657627360653132
1783696381393386800,0.94438671875,-0.029262919363379478,0.0060926543192937966,-0.002383205342106521
1783696381403349800,0.954349853515625,-0.044829906329512594,-0.01840692309979349,0.0018990020217373965
1783696381413313800,0.964313720703125,-0.016099486407637593,-0.018981690780445933,-0.000237644680775702
1783696381423276500,0.974276611328125,-0.030315643286705014,-0.0024516674684360623,0.004628280855156481
1783696381433239800,0.98423974609375,-0.04214636633396148,-0.010202939182333648,-0.012785904880240558
1783696381443202800,0.994202880859375,-0.029426000970602034,0.002187098248116672,-0.011593480225279926
1783696381453165800,1.004165771484375,-0.04199614420831203,-0.004523761034756899,0.009795710088312625
1783696381463128800,1.01412890625,-0.035872692891955375,-0.015812522692419586,-0.0065888768710196015
1783696381473092900,1.0240927734375,-0.024795418560504913,-0.003605805939622223,-0.012605360681563616
1783696381483055900,1.034055908203125,-0.03647182782888412,0.010433533067815005,0.007413454594276845
1783696381493019000,1.044018798828125,-0.045154315978288645,-0.012241678468324243,-0.01592723511327058
1783696381502981600,1.053981689453125,-0.008786533045768737,-0.0023818171026185153,-0.009783654324337839
1783696381512944600,1.063944580078125,-0.0415618444442749,-0.00928301132582128,0.007384922619536519
1783696381522908700,1.07390869140625,-0.02825286553800106,-0.0006618979748338461,-0.01103844015840441
1783696381532871700,1.08387158203125,-0.024356442621350286,0.009458952414616941,-0.008293817625381053
1783696381542834700,1.093834716796875,-0.03333762145638466,0.00008504793494939804,0.0018967735320329665
1783696381552797700,1.103797607421875,-0.037984570479393,-0.011545330234616994,-0.011390395401231945
1783696381562760700,1.1137607421875,-0.024058920979499816,0.002603716224990785,-0.006491700106859207
1783696381572724700,1.123724853515625,-0.04007482075691223,-0.021992818762548265,0.003102276864275336
1783696381582688000,1.13368798828125,-0.03200198893845081,-0.011775010804645717,-0.012004618309438228
1783696381592651000,1.143651123046875,-0.024813538739085195,0.021546572832390663,-0.011502258277870714
1783696381602614000,1.153614013671875,-0.03633855683803558,-0.0035765067799016833,-0.00635879444219172
1783696381612577000,1.163576904296875,-0.02242693586349487,-0.0034436741804704067,0.000838021726720035
1783696381622540000,1.1735400390625,-0.026763503763079642,0.0024216741889715194,-0.0025759149026125666
1783696381632504000,1.183504150390625,-0.03649637774825096,-0.00648044806048274,-0.005347096648998558
1783696381642467000,1.193467041015625,-0.024675591573119163,0.0007952420309185981,-0.0064491761393845074
1783696381652430000,1.20343017578125,-0.017639117065072058,-0.008355082825943827,-0.009055559245496989
1783696381662393000,1.21339306640625,-0.03919745340049267,-0.011367233721353114,-0.0035320831162855026
1783696381672355800,1.22335595703125,-0.03680208269655704,-0.015754107036069033,-0.012639409081637859
1783696381682320100,1.233320068359375,-0.03874035728275776,0.0047235944557934995,-0.00533394490648061
1783696381692283000,1.243282958984375,-0.031114684709906575,-0.01781735970880836,-0.003145494951494038
1783696381702246000,1.253245849609375,-0.023635142609477043,-0.007864742025732993,-0.009455920207314193
1783696381712209000,1.263208984375,-0.040994273689389224,0.0022153744945302605,0.002316167987883091
1783696381722172000,1.273171875,-0.03650923722982406,-0.011917999471910298,0.0005869695750996471
1783696381732135200,1.28313525390625,-0.009575637596845626,-0.01314067313466221,-0.00039184886179864404
1783696381742099000,1.293098876953125,-0.0320201091170311,-0.004278627167269587,0.004625942767597735
1783696381752062200,1.303062255859375,-0.038462709385156627,-0.006461560696922242,-0.008986768325604497
1783696381762025200,1.313025146484375,-0.016609189495444297,-0.003105126408487558,-0.007407024853490292
1783696381771988000,1.322988037109375,-0.030676877814531326,-0.0039040217012166973,-0.004061623415723443
1783696381781951000,1.332950927734375,-0.03712123164832592,-0.0057466173605993385,-0.012879611045680939
1783696381791915000,1.3429150390625,-0.029936873102188108,-0.0002602949040010571,-0.005384067658521234
1783696381801878000,1.3528779296875,-0.04519932416379451,-0.0027429420325905084,0.01337404349911958
1783696381811841000,1.362841064453125,-0.02918868508338928,-0.002885309645347297,-0.012206716752797364
1783696381821804000,1.372803955078125,-0.023056465938687324,-0.005051328572817147,0.006760616708733141
1783696381831767000,1.38276708984375,-0.033837387672066684,-0.011421996115893125,-0.006135908939130604
